OWNER,OBJECT_NAME,TABLE_STATUS,ESTIMATED_ROW_COUNT,INGESTION_PK_COLUMNS,INGESTION_DATE_COLUMNS,POTENTIAL_PARTITION_COLS,INGESTION_TYPE
"BANINST1","GFVREQU","EXISTS",null,null,"LAST_UPDATED","DEADLINE_TERM","column_incremental"
"BANINST1","GFVROUT","EXISTS",null,null,null,null,"full_load"
"BANINST1","SAVCCUR","EXISTS",null,null,"SAVCCUR_ACTIVITY_DATE","SAVCCUR_TERM_CODE,SAVCCUR_TERM_CODE_CTLG,SAVCCUR_TERM_CODE_END","column_incremental"
"BANINST1","SCADARB","EXISTS",null,null,null,null,"full_load"
"BANINST1","SFVFAUD","EXISTS",null,null,"SFVFAUD_ACTIVITY_DATE","SFVFAUD_TERM_CODE","column_incremental"
"BANINST1","SFVSTC2","EXISTS",null,null,null,"ASTD_CODE_END_OF_TERM,ASTD_DATE_END_OF_TERM,FINAL_GRADE_TERM_CODE_EFF,GRDE_CODE_MID_TERM","column_incremental"
"BANINST1","SRVCCUR","EXISTS",null,null,"SRVCCUR_ACTIVITY_DATE","SRVCCUR_TERM_CODE,SRVCCUR_TERM_CODE_CTLG,SRVCCUR_TERM_CODE_END","column_incremental"
"BANINST1","SVQ_SFRWLNT","EXISTS",null,"SFRWLNT_SURROGATE_ID","SFRWLNT_ACTIVITY_DATE","SFRWLNT_TERM_CODE","date_incremental"
"BANINST1","WFVATTR","EXISTS",null,null,null,null,"full_load"
"BANINST1","WFVCRHR","EXISTS",null,null,null,"WFVCRHR_TERM_CODE","column_incremental"
"BANINST1","WGVCNCR","EXISTS",null,null,null,null,"full_load"
"BANINST1","WGVCRHR","EXISTS",null,null,null,"WGVCRHR_TERM_CODE","column_incremental"
"BANINST1","WGVDUPS","EXISTS",null,null,null,null,"full_load"
"BANINST1","WGVFGRD","EXISTS",null,null,null,null,"full_load"
"BANINST1","WGVFSA1","EXISTS",null,null,null,null,"full_load"
"BANINST1","WGVFSA1NEW","EXISTS",null,null,null,null,"full_load"
"BANINST1","WGVFSA2","EXISTS",null,null,null,null,"full_load"
"BANINST1","WGVFSA2NEW","EXISTS",null,null,null,null,"full_load"
"BANINST1","WGVFSA3","EXISTS",null,null,null,null,"full_load"
"BANINST1","WGVFSA3NEW","EXISTS",null,null,null,null,"full_load"
"BANINST1","WGVFSA4","EXISTS",null,null,null,null,"full_load"
"BANINST1","WGVFSA4NEW","EXISTS",null,null,null,null,"full_load"
"BANINST1","WGVFSA5NEW","EXISTS",null,null,null,null,"full_load"
"BANINST1","WGVIINS","EXISTS",null,null,null,null,"full_load"
"BANINST1","WGVNOFSA","EXISTS",null,null,null,"APPL_TERM","column_incremental"
"BANINST1","WGVSEV1","EXISTS",null,null,null,null,"full_load"
"BANINST1","WGVSEV2","EXISTS",null,null,null,null,"full_load"
"BANINST1","WGVSEV3","EXISTS",null,null,null,null,"full_load"
"BANINST1","WGVSEV4","EXISTS",null,null,null,null,"full_load"
"BANINST1","WGVSTDA","EXISTS",null,null,"WGVSTDA_ACTIVITY_DATE","WGVSTDA_SFRSTCR_TERM_CODE,WGVSTDA_TERM_CODE_ADMIT,WGVSTDA_TERM_CODE_ADMIT_2,WGVSTDA_TERM_CODE_ASTD,WGVSTDA_TERM_CODE_CAST,WGVSTDA_TERM_CODE_CTLG_1,WGVSTDA_TERM_CODE_CTLG_2,WGVSTDA_TERM_CODE_EFF,WGVSTDA_TERM_CODE_GRAD,WGVSTDA_TERM_CODE_MATRIC,WGVSTDA_TERM_CODE_PREV","column_incremental"
"BANINST1","WGVSTDH","EXISTS",null,null,"WGVSTDH_ACTIVITY_DATE","WGVSTDH_SFRSTCR_TERM_CODE,WGVSTDH_SHRTGPA_TERM_CODE,WGVSTDH_TERM_CODE_ADMIT,WGVSTDH_TERM_CODE_ADMIT_2,WGVSTDH_TERM_CODE_ASTD,WGVSTDH_TERM_CODE_CAST,WGVSTDH_TERM_CODE_CTLG_1,WGVSTDH_TERM_CODE_CTLG_2,WGVSTDH_TERM_CODE_EFF,WGVSTDH_TERM_CODE_GRAD,WGVSTDH_TERM_CODE_MATRIC,WGVSTDH_TERM_CODE_PREV","column_incremental"
"BANINST1","WGVSTDN","EXISTS",null,null,"SGBSTDN_ACTIVITY_DATE","SGBSTDN_TERM_CODE_ADMIT,SGBSTDN_TERM_CODE_ASTD,SGBSTDN_TERM_CODE_CTLG_1,SGBSTDN_TERM_CODE_EFF,SHRTTRM_ASTD_CODE_END_OF_TERM,SHRTTRM_TERM_CODE","column_incremental"
"BANINST1","WOVSRVR","EXISTS",null,null,"WOVSRVR_ACTIVITY_DATE",null,"full_load"
"BANINST1","WPVCMNT","EXISTS",null,null,"WPVCMNT_ACTIVITY_DATE","WPVCMNT_TERM","column_incremental"
"BANINST1","WPVSCMT","EXISTS",null,null,"WPVSCMT_ACTIVITY_DATE",null,"full_load"
"BANINST1","WSVARAP","EXISTS",null,null,null,"WSVARAP_TERM_CODE_DESC,WSVARAP_TERM_CODE_ENTRY","column_incremental"
"BANINST1","WSVARSC","EXISTS",null,null,null,"WSVARSC_TERM_CODE_ENTRY","column_incremental"
"BANINST1","WSVARTS","EXISTS",null,null,null,null,"full_load"
"BANINST1","WSVDESC","EXISTS",null,null,"SCBDESC_ACTIVITY_DATE","SCBDESC_TERM_CODE_EFF,SCBDESC_TERM_CODE_END","column_incremental"
"BANINST1","WSVINCV","EXISTS",null,null,null,null,"full_load"
"BANINST1","WSVINEV","EXISTS",null,null,null,null,"full_load"
